"Date","Price","Open","High","Low","Vol.","Change %"
"15-11-1995","662.14","662.14","662.14","662.14","","0.06%"
"14-11-1995","661.76","661.76","661.76","661.76","","-1.55%"
"13-11-1995","672.18","672.18","672.18","672.18","","-2.18%"
"10-11-1995","687.18","687.18","687.18","687.18","","-1.37%"
"09-11-1995","696.76","696.76","696.76","696.76","","0.00%"
"08-11-1995","696.76","696.76","696.76","696.76","","-1.31%"
"06-11-1995","706.01","706.01","706.01","706.01","","-0.86%"
"03-11-1995","712.17","712.17","712.17","712.17","","-0.14%"
"02-11-1995","713.16","713.16","713.16","713.16","","-0.17%"
"01-11-1995","714.34","714.34","714.34","714.34","","1.01%"
"31-10-1995","707.19","707.19","707.19","707.19","","-0.44%"
"30-10-1995","710.28","710.28","710.28","710.28","","-0.34%"
"27-10-1995","712.73","712.73","712.73","712.73","","0.40%"
"26-10-1995","709.91","709.91","709.91","709.91","","-1.77%"
"23-10-1995","722.68","722.68","722.68","722.68","","-0.20%"
"20-10-1995","724.12","724.12","724.12","724.12","","-1.05%"
"19-10-1995","731.84","731.84","731.84","731.84","","-0.95%"
"18-10-1995","738.83","738.83","738.83","738.83","","-0.06%"
"17-10-1995","739.27","739.27","739.27","739.27","","-0.38%"
"16-10-1995","742.09","742.09","742.09","742.09","","-0.45%"
"13-10-1995","745.48","745.48","745.48","745.48","","0.10%"
"12-10-1995","744.72","744.72","744.72","744.72","","-0.27%"
"11-10-1995","746.72","746.72","746.72","746.72","","-0.14%"
"10-10-1995","747.75","747.75","747.75","747.75","","-0.50%"
"09-10-1995","751.47","751.47","751.47","751.47","","0.40%"
"06-10-1995","748.50","748.50","748.50","748.50","","1.37%"
"05-10-1995","738.40","738.40","738.40","738.40","","0.56%"
"04-10-1995","734.27","734.27","734.27","734.27","","-0.34%"
"29-09-1995","736.81","736.81","736.81","736.81","","0.46%"
"28-09-1995","733.44","733.44","733.44","733.44","","-0.28%"
"27-09-1995","735.50","735.50","735.50","735.50","","-0.97%"
"26-09-1995","742.69","742.69","742.69","742.69","","0.49%"
"25-09-1995","739.09","739.09","739.09","739.09","","1.12%"
"22-09-1995","730.92","730.92","730.92","730.92","","0.34%"
"21-09-1995","728.47","728.47","728.47","728.47","","0.27%"
"20-09-1995","726.48","726.48","726.48","726.48","","0.17%"
"19-09-1995","725.22","725.22","725.22","725.22","","-0.11%"
"18-09-1995","725.99","725.99","725.99","725.99","","-0.14%"
"15-09-1995","727.01","727.01","727.01","727.01","","0.18%"
"14-09-1995","725.73","725.73","725.73","725.73","","0.29%"
"13-09-1995","723.66","723.66","723.66","723.66","","-0.47%"
"12-09-1995","727.05","727.05","727.05","727.05","","-0.17%"
"11-09-1995","728.28","728.28","728.28","728.28","","0.00%"
"08-09-1995","728.29","728.29","728.29","728.29","","0.36%"
"07-09-1995","725.67","725.67","725.67","725.67","","0.35%"
"06-09-1995","723.11","723.11","723.11","723.11","","0.46%"
