"Date","Price","Open","High","Low","Vol.","Change %"
"14-12-2020","6,879.75","6,880.30","6,906.05","6,846.70","20.36B","0.82%"
"11-12-2020","6,823.95","6,822.35","6,871.95","6,771.25","24.07B","0.63%"
"10-12-2020","6,781.35","6,815.35","6,816.15","6,689.30","26.28B","-0.53%"
"09-12-2020","6,817.25","6,816.15","6,838.00","6,806.80","35.33B","0.51%"
"08-12-2020","6,782.55","6,835.55","6,851.45","6,695.75","28.30B","-0.02%"
"07-12-2020","6,783.85","6,734.25","6,793.85","6,728.25","28.85B","1.26%"
"04-12-2020","6,699.35","6,709.15","6,726.95","6,652.25","25.07B","0.36%"
"03-12-2020","6,675.35","6,677.20","6,684.55","6,661.95","26.51B","0.65%"
"02-12-2020","6,632.55","6,664.45","6,665.60","6,585.25","20.76B","-0.01%"
"01-12-2020","6,633.05","6,627.95","6,651.95","6,599.10","23.93B","0.91%"
"27-11-2020","6,573.30","6,397.00","6,594.30","6,395.00","25.89B","3.07%"
"26-11-2020","6,377.40","6,351.75","6,381.55","6,292.40","17.41B","0.86%"
"25-11-2020","6,323.20","6,419.65","6,434.40","6,314.50","22.44B","-0.89%"
"24-11-2020","6,380.00","6,369.60","6,386.05","6,352.25","23.82B","1.11%"
"23-11-2020","6,309.65","6,260.00","6,321.85","6,249.40","23.72B","2.06%"
"20-11-2020","6,182.25","6,139.75","6,200.55","6,123.60","18.88B","1.16%"
"19-11-2020","6,111.65","6,104.60","6,194.25","6,083.15","23.07B","-0.20%"
"18-11-2020","6,124.20","6,104.05","6,135.10","6,093.15","17.47B","0.32%"
"17-11-2020","6,104.65","6,109.75","6,115.50","6,057.25","20.99B","0.26%"
"14-11-2020","6,089.10","6,093.35","6,107.20","6,081.95","","0.75%"
"13-11-2020","6,043.50","5,998.55","6,052.40","5,987.85","18.89B","0.81%"
"12-11-2020","5,994.80","5,932.40","6,001.35","5,914.60","25.34B","1.31%"
"11-11-2020","5,917.20","5,882.80","5,932.50","5,859.05","17.54B","0.72%"
"10-11-2020","5,874.90","5,925.85","5,929.20","5,858.15","23.43B","-0.06%"
"09-11-2020","5,878.30","5,908.00","5,915.40","5,858.95","19.63B","0.33%"
"06-11-2020","5,859.10","5,860.10","5,901.75","5,853.30","18.55B","0.59%"
"05-11-2020","5,824.55","5,785.85","5,830.00","5,784.35","21.97B","1.72%"
"04-11-2020","5,725.95","5,753.05","5,779.90","5,705.30","20.15B","-0.12%"
"03-11-2020","5,732.85","5,763.35","5,786.35","5,722.75","17.88B","0.07%"
"02-11-2020","5,728.60","5,808.70","5,828.55","5,718.85","17.86B","-1.55%"
"30-10-2020","5,819.05","5,860.65","5,909.20","5,790.65","18.79B","-0.34%"
"29-10-2020","5,839.10","5,832.75","5,863.30","5,795.70","18.20B","-0.92%"
"28-10-2020","5,893.10","5,959.90","5,980.55","5,887.55","21.05B","-0.98%"
"27-10-2020","5,951.35","5,930.80","5,963.20","5,864.60","21.65B","0.31%"
"26-10-2020","5,932.70","6,017.45","6,023.10","5,915.75","34.65B","-1.02%"
"23-10-2020","5,994.10","5,995.90","6,006.15","5,981.30","21.71B","0.62%"
"22-10-2020","5,957.40","5,897.90","5,970.70","5,888.20","20.51B","1.01%"
"21-10-2020","5,897.70","5,943.65","5,963.45","5,828.40","23.91B","-0.11%"
"20-10-2020","5,904.35","5,874.30","5,909.35","5,854.70","24.86B","0.38%"
"19-10-2020","5,882.05","5,880.90","5,889.85","5,849.95","15.04B","0.73%"
"16-10-2020","5,839.30","5,797.95","5,850.30","5,725.55","20.37B","1.39%"
"15-10-2020","5,759.00","5,884.10","5,899.15","5,745.35","23.23B","-1.72%"
"14-10-2020","5,859.90","5,847.30","5,870.10","5,809.90","17.07B","0.26%"
"13-10-2020","5,844.95","5,861.50","5,871.35","5,835.80","20.89B","-0.17%"
"12-10-2020","5,855.00","5,903.85","5,906.50","5,822.35","20.90B","-0.37%"
"09-10-2020","5,876.60","5,907.15","5,917.20","5,866.75","18.12B","-0.23%"
"08-10-2020","5,890.25","5,950.90","5,964.40","5,884.80","23.96B","-0.23%"
"07-10-2020","5,903.90","5,947.70","5,952.15","5,897.75","16.52B","-0.33%"
"06-10-2020","5,923.65","5,940.05","5,951.80","5,908.20","21.14B","0.47%"
"05-10-2020","5,895.95","5,888.55","5,905.60","5,864.35","23.62B","0.59%"
"01-10-2020","5,861.15","5,901.85","5,913.85","5,850.90","30.71B","0.66%"
"30-09-2020","5,822.95","5,867.20","5,871.25","5,812.35","18.81B","-0.28%"
"29-09-2020","5,839.40","5,911.50","5,926.15","5,814.05","25.17B","-0.31%"
"28-09-2020","5,857.55","5,727.90","5,869.95","5,724.85","34.28B","3.58%"
"25-09-2020","5,654.95","5,576.85","5,661.20","5,554.70","23.29B","2.59%"
"24-09-2020","5,512.05","5,563.30","5,579.90","5,500.35","16.68B","-2.57%"
"23-09-2020","5,657.55","5,711.90","5,768.10","5,596.00","17.72B","0.01%"
"22-09-2020","5,656.75","5,748.95","5,755.50","5,475.45","22.85B","-1.76%"
"21-09-2020","5,757.95","6,015.25","6,033.00","5,739.05","21.84B","-3.90%"
"18-09-2020","5,991.50","6,054.25","6,072.70","5,979.70","32.56B","-0.44%"
"17-09-2020","6,017.95","6,022.65","6,051.95","5,994.95","19.63B","-0.50%"
"16-09-2020","6,048.20","6,082.05","6,083.15","6,022.70","19.65B","-0.02%"
"15-09-2020","6,049.15","6,008.65","6,058.70","5,976.55","27.22B","1.53%"
"14-09-2020","5,957.75","5,730.60","5,972.20","5,729.55","36.56B","5.44%"
"11-09-2020","5,650.15","5,659.90","5,670.25","5,631.35","23.80B","0.27%"
"10-09-2020","5,634.80","5,600.30","5,665.55","5,600.10","25.35B","1.60%"
"09-09-2020","5,546.25","5,574.05","5,575.95","5,474.80","29.41B","-1.51%"
"08-09-2020","5,631.15","5,704.00","5,726.10","5,608.15","19.37B","-0.96%"
"07-09-2020","5,685.45","5,704.45","5,734.60","5,644.40","23.28B","0.12%"
"04-09-2020","5,678.90","5,638.35","5,726.05","5,607.25","21.00B","-1.16%"
"03-09-2020","5,745.50","5,735.00","5,783.20","5,733.45","17.44B","0.69%"
"02-09-2020","5,705.95","5,632.05","5,714.75","5,616.80","21.92B","1.72%"
"01-09-2020","5,609.35","5,584.05","5,639.30","5,528.75","25.61B","0.37%"
"31-08-2020","5,588.60","5,905.95","5,916.00","5,537.65","29.49B","-4.75%"
"28-08-2020","5,867.30","5,912.95","5,926.90","5,858.60","28.16B","-0.18%"
"27-08-2020","5,877.90","5,890.65","5,911.15","5,867.15","29.46B","0.53%"
"26-08-2020","5,846.70","5,826.40","5,862.45","5,816.65","29.57B","1.06%"
"25-08-2020","5,785.35","5,806.95","5,821.25","5,747.65","27.03B","0.54%"
"24-08-2020","5,754.15","5,713.70","5,772.40","5,709.70","28.56B","1.67%"
"21-08-2020","5,659.45","5,647.35","5,686.20","5,647.20","29.42B","1.03%"
"20-08-2020","5,601.90","5,530.25","5,631.15","5,515.40","26.87B","0.66%"
"19-08-2020","5,565.00","5,540.55","5,585.80","5,535.35","32.06B","1.24%"
"18-08-2020","5,497.00","5,445.95","5,504.15","5,434.90","21.31B","1.52%"
"17-08-2020","5,414.55","5,432.45","5,436.50","5,355.85","24.31B","0.84%"
"14-08-2020","5,369.35","5,460.95","5,475.20","5,327.90","27.34B","-1.18%"
"13-08-2020","5,433.65","5,423.45","5,466.90","5,420.95","25.38B","0.75%"
"12-08-2020","5,393.00","5,364.45","5,399.45","5,336.55","24.55B","0.41%"
"11-08-2020","5,371.00","5,401.70","5,410.05","5,364.90","24.78B","0.37%"
"10-08-2020","5,351.15","5,296.90","5,355.00","5,294.15","25.97B","1.68%"
"07-08-2020","5,262.90","5,213.90","5,274.05","5,205.40","21.11B","1.05%"
"06-08-2020","5,208.30","5,212.20","5,234.90","5,190.25","23.02B","0.36%"
"05-08-2020","5,189.45","5,169.00","5,199.45","5,152.55","24.93B","1.13%"
"04-08-2020","5,131.70","5,103.85","5,137.90","5,083.25","22.11B","1.37%"
"03-08-2020","5,062.35","5,024.05","5,082.50","5,012.50","31.12B","1.03%"
"31-07-2020","5,010.60","4,988.25","5,023.00","4,949.95","25.31B","0.83%"
"30-07-2020","4,969.15","5,031.80","5,057.55","4,953.65","24.60B","-1.07%"
"29-07-2020","5,022.65","5,052.95","5,081.95","5,013.85","26.37B","-0.09%"
"28-07-2020","5,027.15","4,990.90","5,034.65","4,984.55","23.23B","1.36%"
"27-07-2020","4,959.50","5,023.45","5,028.35","4,938.35","31.21B","-0.60%"
"24-07-2020","4,989.40","4,962.55","4,998.40","4,933.40","24.86B","0.22%"
"23-07-2020","4,978.55","4,941.70","4,995.45","4,938.50","26.95B","1.03%"
"22-07-2020","4,927.65","4,956.80","4,971.80","4,887.25","23.70B","-0.01%"
"21-07-2020","4,928.05","4,944.15","4,957.55","4,922.60","23.72B","0.41%"
"20-07-2020","4,907.95","4,884.50","4,915.10","4,876.75","17.64B","1.15%"
"17-07-2020","4,851.95","4,811.30","4,857.95","4,807.00","23.76B","1.32%"
